	htseq-count on data 343 and data 405	htseq-count on data 343 and data 417	htseq-count on data 343 and data 429	htseq-count on data 343 and data 411	htseq-count on data 343 and data 423	htseq-count on data 343 and data 435
ENST00000011653.9	913.79471223968	643.791748810545	536.700731113902	329.585966287541	339.300753753727	260.194373175252
ENST00000078429.9	103.732328685787	101.848041538969	192.049584634568	1.1210407016583	0	2.3440934520293
ENST00000217740.4	267.645245006076	284.053253466481	331.155770261769	125.55655858573	119.383598542978	144.161747299802
ENST00000220669.10	7.12664853566475	16.8189426394627	10.3810586288956	0	0	0
ENST00000220751.5	198.754309161317	191.549068949436	208.659278440801	0	0	0
ENST00000221132.8	64.1398368209827	49.5224422161958	68.5149869507109	0	0.897621041676526	0
ENST00000225171.7	9.502198047553	14.0157855328856	5.1905293144478	0	0	0
ENST00000241125.4	117.985625757116	119.601369880624	73.7055162651587	36.994343154724	58.3453677089742	36.3334485064541
ENST00000241453.12	84.7279325906809	92.5041845170449	21.8002231206807	6.72624420994982	5.38572625005915	4.68818690405859
ENST00000245903.4	56.2213384480219	51.3912136205805	90.3152100713916	0	1.79524208335305	1.17204672601465
ENST00000245912.7	57.013188285318	69.1445419622356	146.372926667428	11.210407016583	25.1333891669427	45.7098223145713
ENST00000246841.3	133.822622503038	134.551541115702	56.0577165960362	42.5995466630155	38.5977047920906	16.4086541642051
ENST00000251203.14	19.004396095106	15.8845569372703	8.30484690311647	3.36312210497491	0.897621041676526	0
ENST00000255198.3	57.8050381226141	37.3754280876949	39.4480227898032	20.1787326298495	11.6690735417948	14.0645607121758
ENST00000257575.8	38.8006420275081	24.2940282570017	17.6477996691225	2.24208140331661	1.79524208335305	2.3440934520293
ENST00000258499.8	51.4702394242454	66.3413848556585	183.744737731452	13.4524884198996	13.4643156251479	39.849588684498
ENST00000261267.7	13249.2314776381	16889.9559528293	16790.3242263757	7199.32338604962	5894.67738068974	7352.24911228989
ENST00000261783.4	107.691577872267	143.895398137625	92.3914217971708	1.1210407016583	2.69286312502958	4.68818690405859
ENST00000269593.5	144.116670387887	130.813998306932	263.678889173948	43.7205873646738	52.0620204172385	90.2475979031279
ENST00000269740.9	169.455865181362	168.189426394627	152.601561844765	78.4728491160812	64.6287150007098	70.3228035608789
ENST00000271732.8	791.057987458787	838.143974866558	695.530928136005	232.055425243269	191.1932818771	181.66724253227
ENST00000274306.7	7.91849837296083	10.2782427241161	15.5715879433434	0	0.897621041676526	0
ENST00000274629.9	49.0946899123572	47.653670811811	50.8671872815884	25.783936138141	16.1571787501775	9.37637380811718
ENST00000281589.4	125.904124130077	150.436098052972	131.839444586974	48.204750171307	48.4715362505324	53.9141493966738
